Longitude	Latitude	Vs30(Wills2015)	Vs30(Wills2006)	Z2.5(km)(CVM4i26) Z1.0(km)(CVM4i26)
-118.383366956	34.2783638257	351.9	349.0	1.35	0.1
-118.335980238	34.2563456228	468.4	390.0	0.35	0.15
-118.288617794	34.2343084445	710.1	748.0	0.35	0.05
-118.241279626	34.2122523356	351.9	349.0	0.35	0.1
-118.193965738	34.1901773407	710.1	748.0	0.35	0.05
-118.146676134	34.1680835046	386.6	387.0	0.75	0.1
-118.099410815	34.1459708718	386.6	387.0	1.5	0.2
-118.052169785	34.1238394872	293.5	280.0	1.95	0.25
-118.004953047	34.1016893954	351.9	280.0	3.05	0.35
-117.957760264	34.0795206437	293.5	280.0	3.0	0.4
-117.910592117	34.0573332716	386.6	387.0	2.35	0.25
-117.863448269	34.0351273265	468.4	390.0	1.65	0.15
-117.816328722	34.0129028531	468.4	390.0	1.1	0.15
-117.769233478	33.9906598963	385.1	390.0	1.15	0.2
-117.722162539	33.9683985007	385.1	390.0	1.8	0.2
-117.675115908	33.9461187112	468.4	390.0	1.85	0.2
-117.628093586	33.9238205726	386.6	387.0	3.25	0.2
-117.581095574	33.9015041296	444.0	387.0	0.35	0.15
-117.534121875	33.879169427	386.6	387.0	0.35	0.15
-117.487172488	33.8568165097	710.1	748.0	0.0	0.0
-117.440247417	33.8344454225	NaN	748.0	0.0	0.0
-117.393346662	33.8120562101	710.1	748.0	0.0	0.0
-117.346470223	33.7896489175	710.1	748.0	0.0	0.0
-117.299618102	33.7672235895	710.1	748.0	0.0	0.0
-117.2527903	33.7447802709	710.1	349.0	0.0	0.0
-117.205986817	33.7223190065	386.6	349.0	0.0	0.0
-119.023031889	34.6240795263	710.1	748.0	0.0	0.0
-118.975288982	34.6023220417	710.1	748.0	0.35	0.05
-118.927570354	34.5805449467	468.4	515.0	0.35	0.05
-118.879876009	34.5587482859	468.4	390.0	0.35	0.1
-118.832205953	34.5369321038	468.4	390.0	0.5	0.1
-118.784560189	34.5150964451	385.1	390.0	2.0	0.15
-118.736938724	34.4932413542	385.1	390.0	2.45	0.35
-118.689341562	34.4713668759	385.1	390.0	3.75	0.35
-118.641768706	34.4494730546	444.0	455.0	3.35	0.15
-118.594220161	34.427559935	351.9	354.0	4.1	0.45
-118.546695932	34.4056275618	293.5	354.0	2.1	0.5
-118.499196023	34.3836759796	351.9	455.0	2.1	0.35
-118.451720097	34.361705237	710.1	748.0	5.9	0.05
-118.404268837	34.3397153706	710.1	748.0	3.35	0.05
-118.356841909	34.3177064292	710.1	748.0	3.1	0.15
-118.309439315	34.2956784575	710.1	748.0	3.45	0.05
-118.262061059	34.2736315003	710.1	748.0	0.35	0.05
-118.214707144	34.2515656021	710.1	748.0	0.35	0.05
-118.167377573	34.2294808078	710.1	748.0	0.35	0.05
-118.120072349	34.2073771621	710.1	748.0	0.75	0.05
-118.072791475	34.1852547097	710.1	748.0	1.35	0.05
-118.025534954	34.1631134954	351.9	387.0	1.55	0.15
-117.978302789	34.140953564	351.9	387.0	1.8	0.2
-117.931094643	34.1187749628	293.5	387.0	2.05	0.2
-117.883911196	34.0965777313	293.5	280.0	1.7	0.25
-117.836752112	34.074361917	385.1	390.0	0.8	0.2
-117.789617394	34.0521275648	293.5	354.0	0.35	0.2
-117.742507042	34.0298747195	293.5	354.0	0.45	0.2
-117.695421059	34.0076034258	293.5	354.0	1.05	0.25
-117.648359447	33.9853137287	293.5	354.0	0.6	0.2
-117.601322207	33.9630056729	293.5	354.0	0.35	0.2
-117.554309341	33.9406793033	386.6	387.0	0.35	0.15
-117.507320851	33.9183346648	710.1	748.0	0.35	0.15
-117.460356738	33.8959718023	386.6	748.0	0.35	0.35
-117.413417002	33.8735907606	710.1	748.0	0.0	0.0
-117.366501646	33.8511915845	710.1	748.0	0.0	0.0
-117.319610669	33.8287743191	386.6	748.0	0.0	0.0
-117.272744074	33.8063390091	710.1	748.0	0.0	0.0
-117.22590186	33.7838856995	386.6	349.0	0.0	0.0
-117.179084028	33.7614144352	386.6	349.0	0.0	0.0
-118.996711678	34.6635549813	710.1	748.0	0.0	0.0
-118.948951982	34.6417878529	710.1	748.0	0.0	0.0
-118.90121663	34.620001103	710.1	748.0	0.35	0.05
-118.853505626	34.5981947762	468.4	515.0	0.35	0.05
-118.805818976	34.5763689172	385.1	515.0	0.35	0.05
-118.758156684	34.5545235705	385.1	515.0	0.35	0.1
-118.710518755	34.5326587808	385.1	390.0	0.35	0.15
-118.662905193	34.5107745928	468.4	390.0	0.35	0.35
-118.615316004	34.4888710511	293.5	354.0	1.75	0.35
-118.56775119	34.4669482004	444.0	455.0	2.05	0.15
-118.520210757	34.4450060854	444.0	455.0	2.05	0.15
-118.472694708	34.4230447508	293.5	354.0	2.05	0.35
-118.425202707	34.4010642453	468.4	515.0	1.6	0.15
-118.377735438	34.3790646055	710.1	748.0	0.35	0.05
-118.330292564	34.3570458804	710.1	748.0	0.35	0.05
-118.282874089	34.3350081146	710.1	748.0	0.35	0.05
-118.235480017	34.3129513529	710.1	748.0	0.35	0.05
-118.188110349	34.2908756401	710.1	748.0	0.35	0.05
-118.140765091	34.268781021	710.1	748.0	0.0	0.0
-118.093444243	34.2466675403	710.1	748.0	0.7	0.0
-118.046147811	34.224535243	710.1	748.0	1.05	0.0
-117.998875795	34.2023841737	710.1	748.0	1.3	0.05
-117.951628199	34.1802143774	710.1	748.0	1.3	0.05
-117.904404686	34.1580259013	710.1	748.0	2.05	0.05
-117.857205936	34.1358187853	351.9	349.0	1.3	0.2
-117.810031613	34.1135930767	518.9	387.0	0.85	0.25
-117.762881719	34.0913488204	293.5	349.0	0.55	0.2
-117.715756256	34.0690860614	293.5	354.0	0.8	0.2
-117.668655226	34.0468048444	293.5	354.0	0.5	0.2
-117.62157863	34.0245052145	293.5	354.0	0.45	0.2
-117.57452647	34.0021872165	293.5	354.0	0.35	0.2
-117.527498748	33.9798508952	386.6	387.0	0.35	0.15
-117.480495464	33.9574962957	386.6	387.0	0.35	0.15
-117.433516621	33.9351234628	386.6	387.0	0.35	0.15
-117.386562219	33.9127324415	386.6	387.0	0.35	0.35
-117.339632259	33.8903232767	710.1	748.0	0.0	0.0
-117.292726743	33.8678960134	710.1	748.0	0.0	0.0
-117.245845671	33.8454506965	386.6	349.0	0.0	0.0
-117.198989043	33.822987371	386.6	349.0	0.0	0.0
-117.152156861	33.8005060818	386.6	349.0	0.0	0.0
-118.970367076	34.70302311	710.1	748.0	0.0	0.0
-118.922590586	34.681246312	710.1	748.0	0.0	0.0
-118.874838505	34.6594498814	710.1	748.0	0.0	0.0
-118.827110839	34.6376338629	710.1	748.0	0.0	0.0
-118.779407591	34.6157983011	710.1	748.0	5.0	0.05
-118.731728767	34.5939432407	468.4	390.0	0.35	0.35
-118.684074372	34.5720687265	385.1	390.0	0.35	0.35
-118.636444408	34.5501748031	385.1	390.0	1.55	0.35
-118.588838882	34.5282615153	NaN	390.0	1.55	0.35
-118.541257797	34.5063289078	468.4	390.0	2.0	0.25
-118.493701157	34.4843770254	468.4	515.0	2.05	0.15
-118.446168966	34.4624059128	468.4	515.0	2.05	0.15
-118.398660888	34.4404156188	351.9	515.0	1.6	0.15
-118.351177606	34.4184061801	710.1	748.0	0.65	0.05
-118.303718785	34.3963776456	710.1	748.0	0.35	0.05
-118.256284427	34.3743300601	710.1	748.0	0.35	0.05
-118.208874536	34.3522634685	710.1	748.0	0.35	0.05
-118.161489115	34.3301779156	710.1	748.0	0.35	0.05
-118.114128167	34.3080734462	351.9	748.0	0.55	0.0
-118.066791695	34.2859501052	710.1	748.0	0.8	0.0
-118.019479701	34.2638079374	710.1	748.0	1.1	0.0
-117.972192189	34.2416469878	710.1	748.0	1.1	0.0
-117.924929161	34.2194673012	710.1	748.0	1.05	0.05
-117.87769028	34.1972689249	710.1	748.0	0.8	0.05
-117.830476226	34.1750518989	710.1	748.0	1.1	0.05
-117.783286664	34.1528162707	710.1	748.0	0.35	0.05
-117.736121594	34.1305620851	386.6	748.0	1.05	0.05
-117.688981019	34.1082893871	351.9	354.0	1.1	0.15
-117.641864941	34.0859982216	351.9	354.0	0.7	0.35
-117.594773361	34.0636886337	293.5	354.0	0.4	0.2
-117.54770628	34.0413606681	293.5	354.0	0.35	0.2
-117.500663701	34.01901437	386.6	387.0	0.35	0.05
-117.453645625	33.9966497843	710.1	748.0	0.35	0.15
-117.406652052	33.974266956	351.9	354.0	0.35	0.2
-117.359682983	33.95186593	386.6	387.0	0.35	0.15
-117.312738421	33.9294467514	710.1	748.0	0.0	0.0
-117.265818365	33.9070094651	386.6	349.0	0.0	0.0
-117.218922817	33.8845541163	293.5	280.0	0.0	0.0
-117.172051776	33.8620807498	NaN	349.0	0.0	0.0
-117.125205244	33.8395894107	293.5	349.0	0.0	0.0
-118.943998122	34.7424883935	710.1	748.0	0.0	0.0
-118.896204833	34.7207019002	468.4	390.0	0.0	0.0
-118.848436018	34.6988957632	468.4	390.0	0.0	0.0
-118.800691683	34.6770700273	468.4	390.0	0.0	0.0
-118.752971832	34.6552247371	385.1	390.0	0.0	0.0
-118.70527647	34.6333599374	468.4	390.0	0.35	0.35
-118.657605601	34.611475673	468.4	515.0	0.35	0.35
-118.60995923	34.5895719887	468.4	515.0	0.35	0.15
-118.562337362	34.5676489292	468.4	515.0	0.35	0.15
-118.51474	34.5457065393	710.1	748.0	0.35	0.15
-118.467167148	34.523744864	710.1	748.0	0.35	0.1
-118.41961881	34.5017639479	468.4	515.0	0.35	0.15
-118.372094649	34.4797638397	385.1	515.0	1.85	0.05
-118.324595351	34.4577445766	468.4	515.0	1.15	0.15
-118.277120577	34.4357062073	710.1	748.0	0.85	0.35
-118.229670332	34.4136487767	710.1	748.0	0.6	0.05
-118.182244618	34.3915723298	710.1	748.0	0.7	0.05
-118.134843438	34.3694769113	710.1	748.0	0.75	0.0
-118.087466797	34.3473625662	710.1	748.0	0.6	0.0
-118.040114696	34.3252293395	710.1	748.0	0.7	0.0
-117.992787138	34.303077276	710.1	748.0	0.85	0.0
-117.945484125	34.2809064206	710.1	748.0	0.85	0.0
-117.898205661	34.2587168184	710.1	748.0	0.55	0.0
-117.850951409	34.2365085166	710.1	748.0	0.0	0.0
-117.803722048	34.2142815554	710.1	748.0	0.75	0.05
-117.756517243	34.1920359822	710.1	748.0	0.8	0.0
-117.709336994	34.169771842	710.1	748.0	1.05	0.0
-117.662181304	34.1474891798	351.9	354.0	1.15	0.35
-117.615050175	34.1251880406	386.6	387.0	1.05	0.35
-117.567943608	34.1028684694	293.5	354.0	0.4	0.35
-117.520861604	34.0805305113	293.5	354.0	0.55	0.2
-117.473804165	34.0581742111	293.5	280.0	0.35	0.2
-117.426771293	34.0357996141	710.1	748.0	0.35	0.05
-117.379762988	34.0134067652	386.6	280.0	0.35	0.15
-117.332779251	33.9909957094	386.6	387.0	0.35	0.15
-117.285820084	33.9685664919	710.1	748.0	0.0	0.0
-117.238885487	33.9461191577	386.6	349.0	0.0	0.0
-117.19197546	33.9236537518	351.9	349.0	0.8	0.0
-117.145090005	33.9011703193	710.1	748.0	0.8	0.0
-117.098229122	33.8786689054	293.5	349.0	0.9	0.0
-118.917604646	34.7819463001	710.1	748.0	0.0	0.0
-118.869794553	34.7601500856	468.4	390.0	0.0	0.0
-118.822009001	34.7383342164	351.9	390.0	0.0	0.0
-118.774247993	34.7164987372	468.4	390.0	0.0	0.0
-118.726511536	34.6946436928	468.4	390.0	0.0	0.0
-118.678799632	34.6727691281	468.4	390.0	0.0	0.0
-118.631112288	34.6508750877	710.1	748.0	0.35	0.05
-118.583449507	34.6289616167	710.1	748.0	0.35	0.05
-118.535811293	34.6070287598	710.1	748.0	0.35	0.05
-118.488197651	34.5850765619	385.1	515.0	0.35	0.15
-118.440608585	34.5631050679	710.1	748.0	0.35	0.15
-118.393044097	34.5411143226	710.1	748.0	0.35	0.15
-118.345503852	34.5191043748	386.6	515.0	1.2	0.0
-118.297988534	34.4970752616	385.1	387.0	1.1	0.0
-118.250497806	34.4750270319	518.9	515.0	0.85	0.0
-118.203031672	34.4529597307	386.6	748.0	0.85	0.0
-118.155590133	34.4308734028	710.1	748.0	0.85	0.0
-118.108173194	34.4087680932	710.1	748.0	0.8	0.0
-118.060780857	34.386643847	710.1	748.0	0.6	0.0
-118.013413126	34.364500709	710.1	748.0	0.65	0.0
-117.966070002	34.3423387242	710.1	748.0	0.6	0.0
-117.918751488	34.3201579377	710.1	748.0	0.0	0.0
-117.871457587	34.2979583945	710.1	748.0	0.0	0.0
-117.824187962	34.2757401418	710.1	748.0	0.0	0.0
-117.776943294	34.2535032199	710.1	748.0	0.55	0.0
-117.729723244	34.2312476765	710.1	748.0	0.85	0.0
-117.682527816	34.2089735563	710.1	748.0	1.05	0.0
-117.635357011	34.1866809046	710.1	748.0	1.2	0.0
-117.58821083	34.1643697664	351.9	387.0	1.15	0.35
-117.541089276	34.1420401867	351.9	354.0	0.8	0.35
-117.493992349	34.1196922107	293.5	280.0	0.45	0.2
-117.446920051	34.0973258833	293.5	280.0	0.45	0.2
-117.399872383	34.0749412498	293.5	280.0	0.35	0.2
-117.352849346	34.0525383551	386.6	280.0	0.35	0.15
-117.305850941	34.0301172444	351.9	387.0	0.35	0.15
-117.25887717	34.0076779629	386.6	280.0	0.35	0.15
-117.211928032	33.9852205555	710.1	748.0	0.8	0.0
-117.165003528	33.9627450675	386.6	349.0	1.3	0.0
-117.118103659	33.940251544	468.4	455.0	1.5	0.0
-117.071228425	33.9177400302	351.9	455.0	1.7	0.0
-118.891186687	34.8214013107	351.9	748.0	0.0	0.0
-118.843359785	34.7995953494	710.1	748.0	0.0	0.0
-118.795557488	34.7777697222	468.4	515.0	0.0	0.0
-118.747779802	34.7559244741	710.1	748.0	0.65	0.0
-118.700026732	34.7340596498	710.1	748.0	0.75	0.0
-118.652298282	34.7121752942	710.1	748.0	0.0	0.0
-118.604594456	34.6902714523	710.1	748.0	0.0	0.0
-118.556915259	34.668348169	710.1	748.0	0.35	0.05
-118.509260695	34.646405489	710.1	748.0	0.35	0.05
-118.461630768	34.6244434575	710.1	748.0	0.0	0.0
-118.414025481	34.6024621192	710.1	748.0	0.0	0.0
-118.366444839	34.5804615192	710.1	748.0	0.0	0.0
-118.318888505	34.5584417061	710.1	748.0	0.0	0.0
-118.271357163	34.5364027173	710.1	349.0	0.55	0.0
-118.223850476	34.5143446017	710.1	748.0	0.7	0.0
-118.176368447	34.4922674043	518.9	515.0	0.8	0.0
-118.12891108	34.47017117	710.1	748.0	0.8	0.0
-118.081478377	34.4480559439	710.1	748.0	0.65	0.0
-118.034070341	34.425921771	710.1	748.0	0.0	0.0
-117.986686975	34.4037686964	710.1	748.0	0.0	0.0
-117.939328281	34.381596765	710.1	748.0	0.0	0.0
-117.891994263	34.3594060219	710.1	748.0	0.0	0.0
-117.844684922	34.3371965123	710.1	748.0	0.0	0.0
-117.79739992	34.3149682833	710.1	748.0	0.0	0.0
-117.75013994	34.2927213756	710.1	748.0	0.0	0.0
-117.702904644	34.2704558365	710.1	748.0	0.65	0.0
-117.655694033	34.2481717111	710.1	748.0	1.1	0.0
-117.60850811	34.2258690446	710.1	748.0	1.35	0.0
-117.561346875	34.2035478821	710.1	748.0	1.35	0.0
-117.51421033	34.1812082687	710.1	748.0	1.15	0.05
-117.467098478	34.1588502496	351.9	280.0	0.95	0.35
-117.420011318	34.1364738698	351.9	280.0	0.75	0.35
-117.372948852	34.1140791745	386.6	280.0	0.6	0.35
-117.325911081	34.091666209	293.5	280.0	1.05	0.25
-117.278898007	34.0692350183	293.5	280.0	2.0	0.35
-117.231909628	34.0467856475	351.9	280.0	0.95	0.25
-117.184945948	34.024318142	444.0	387.0	1.15	0.35
-117.138006965	34.0018325469	351.9	280.0	1.65	0.35
-117.09109268	33.9793289073	351.9	387.0	2.05	0.0
-117.044203094	33.9568072685	444.0	387.0	2.35	0.0
-118.864744076	34.8608488937	710.1	748.0	0.0	0.0
-118.816900359	34.8390331595	710.1	748.0	0.0	0.0
-118.769081315	34.8171977485	468.4	515.0	0.75	0.0
-118.721286948	34.7953427055	386.6	387.0	1.4	0.0
-118.673517262	34.7734680755	351.9	354.0	1.4	0.0
-118.625772261	34.7515739034	710.1	609.0	0.95	0.0
-118.578051951	34.7296602341	710.1	748.0	0.0	0.0
-118.530356336	34.7077271126	710.1	748.0	0.0	0.0
-118.482685419	34.6857745839	710.1	748.0	0.0	0.0
-118.435039204	34.6638026929	710.1	748.0	0.0	0.0
-118.387417695	34.6418114847	710.1	748.0	0.0	0.0
-118.339820897	34.6198010042	710.1	748.0	0.0	0.0
-118.292248471	34.5977713002	710.1	748.0	0.0	0.0
-118.244701103	34.5757224102	710.1	748.0	0.0	0.0
-118.197178455	34.553654383	710.1	748.0	0.0	0.0
-118.14968053	34.5315672638	710.1	748.0	0.0	0.0
-118.102207332	34.5094610975	351.9	387.0	0.55	0.0
-118.054758864	34.4873359293	710.1	748.0	0.0	0.0
-118.007335127	34.4651918042	710.1	748.0	0.0	0.0
-117.959936125	34.4430287674	710.1	748.0	0.0	0.0
-117.912561861	34.4208468638	710.1	748.0	0.0	0.0
-117.865212336	34.3986461387	710.1	748.0	0.0	0.0
-117.817887554	34.3764266372	710.1	748.0	0.0	0.0
-117.770587175	34.3541884066	710.1	748.0	0.0	0.0
-117.723311883	34.3319314875	710.1	748.0	0.0	0.0
-117.67606134	34.3096559274	710.1	748.0	0.6	0.0
-117.628835546	34.2873617714	710.1	748.0	1.1	0.0
-117.581634503	34.2650490648	710.1	748.0	1.45	0.0
-117.534458214	34.2427178527	710.1	748.0	1.55	0.0
-117.48730668	34.2203681803	710.1	748.0	1.3	0.0
-117.440179901	34.1980000928	351.9	748.0	1.15	0.0
-117.39307788	34.1756136353	351.9	280.0	1.15	0.4
-117.346000616	34.1532088531	293.5	280.0	1.2	0.35
-117.298948112	34.1307857915	293.5	280.0	1.0	0.35
-117.251920368	34.1083444955	293.5	280.0	0.4	0.2
-117.204917384	34.0858850105	293.5	280.0	0.55	0.2
-117.157939161	34.0634073816	293.5	280.0	1.5	0.35
-117.1109857	34.0409116542	386.6	387.0	2.1	0.35
-117.064057001	34.0183978735	351.9	387.0	2.35	0.35
-117.017153064	33.9958660847	710.1	748.0	2.5	0.0
-118.838276848	34.9002935298	710.1	748.0	0.0	0.0
-118.790416312	34.8784679971	710.1	748.0	0.0	0.0
-118.742580514	34.8566227765	710.1	748.0	0.95	0.0
-118.694769459	34.8347579129	386.6	387.0	1.5	0.0
-118.646983151	34.8128734514	351.9	354.0	1.75	0.0
-118.599221595	34.790969437	293.5	354.0	1.5	0.0
-118.551484795	34.7690459146	386.6	354.0	1.45	0.0
-118.503772756	34.7471029293	351.9	354.0	1.0	0.0
-118.45608548	34.7251405261	351.9	354.0	0.75	0.0
-118.408422972	34.7031587501	386.6	387.0	0.75	0.0
-118.360785237	34.6811576463	386.6	387.0	0.85	0.0
-118.313172277	34.6591372598	386.6	387.0	0.0	0.0
-118.265583754	34.6370976392	351.9	354.0	0.0	0.0
-118.218020356	34.6150388223	710.1	748.0	0.0	0.0
-118.170481742	34.5929608581	293.5	354.0	0.0	0.0
-118.122967918	34.5708637915	293.5	354.0	0.0	0.0
-118.075478885	34.5487476677	351.9	748.0	0.0	0.0
-118.028014646	34.5266125319	710.1	354.0	0.0	0.0
-117.980575205	34.5044584291	351.9	748.0	0.0	0.0
-117.933160564	34.4822854046	351.9	387.0	0.0	0.0
-117.885770725	34.4600935035	444.0	387.0	0.55	0.0
-117.838405691	34.437882771	351.9	354.0	0.0	0.0
-117.791065463	34.4156532522	386.6	748.0	0.0	0.0
-117.743749705	34.3934049944	710.1	748.0	0.0	0.0
-117.696459098	34.3711380386	710.1	748.0	0.55	0.0
-117.649193303	34.3488524322	710.1	748.0	0.85	0.0
-117.601952323	34.3265482203	710.1	748.0	1.25	0.0
-117.55473616	34.3042254483	710.1	748.0	1.5	0.0
-117.507544813	34.2818841613	710.1	748.0	1.55	0.0
-117.460378286	34.2595244045	386.6	748.0	1.35	0.0
-117.413236579	34.2371462234	351.9	387.0	1.25	0.35
-117.366119694	34.214749663	386.6	748.0	1.35	0.35
-117.319027631	34.1923347687	351.9	748.0	1.45	0.35
-117.271960391	34.1699015857	351.9	349.0	1.55	0.35
-117.224917975	34.1474501593	351.9	515.0	1.25	0.15
-117.177900383	34.1249805349	386.6	387.0	1.15	0.2
-117.130907617	34.1024927576	351.9	354.0	1.5	0.35
-117.083939676	34.0799868728	386.6	387.0	1.75	0.35
-117.036996561	34.0574629258	386.6	387.0	1.8	0.35
-116.990078272	34.0349209619	710.1	748.0	2.05	0.0
-118.811784836	34.9397306873	710.1	748.0	0.0	0.0
-118.763907477	34.91789533	710.1	748.0	0.0	0.0
-118.716054922	34.8960402738	710.1	748.0	0.65	0.0
-118.668227177	34.8741655638	386.6	387.0	1.25	0.0
-118.620424244	34.8522712449	351.9	354.0	1.55	0.0
-118.57264613	34.8303573623	351.9	354.0	1.65	0.0
-118.524892837	34.808423961	293.5	354.0	2.3	0.0
-118.47716437	34.7864710861	293.5	354.0	3.8	0.0
-118.429460734	34.7644987826	386.6	387.0	2.35	0.0
-118.381781931	34.7425070958	710.1	748.0	1.45	0.0
-118.334127966	34.7204960706	386.6	354.0	1.2	0.0
-118.286498842	34.6984657523	293.5	354.0	1.1	0.0
-118.238894222	34.6764161894	293.5	354.0	0.65	0.0
-118.19131479	34.6543474201	293.5	354.0	0.75	0.0
-118.14376021	34.632259493	293.5	354.0	0.65	0.0
-118.096230483	34.6101524535	293.5	354.0	0.0	0.0
-118.048725614	34.5880263465	293.5	354.0	0.0	0.0
-118.001245604	34.5658812175	293.5	354.0	0.0	0.0
-117.953790457	34.5437171115	293.5	354.0	0.0	0.0
-117.906360175	34.5215340737	293.5	354.0	0.7	0.0
-117.858954761	34.4993321495	351.9	354.0	0.7	0.0
-117.811574216	34.477111384	351.9	354.0	0.65	0.0
-117.764218543	34.4548718224	351.9	387.0	0.65	0.0
-117.716887404	34.4326135121	351.9	349.0	0.85	0.0
-117.66958148	34.4103364941	351.9	387.0	1.0	0.0
-117.622300435	34.3880408159	351.9	515.0	1.2	0.0
-117.575044269	34.3657265227	351.9	387.0	1.4	0.0
-117.527812983	34.3433936598	351.9	387.0	1.5	0.0
-117.48060658	34.3210422726	351.9	387.0	1.4	0.0
-117.43342506	34.2986724062	710.1	748.0	1.3	0.0
-117.386268425	34.2762841061	710.1	748.0	1.3	0.0
-117.339136676	34.2538774175	468.4	748.0	1.45	0.0
-117.292029813	34.2314523858	710.1	748.0	1.6	0.0
-117.244947838	34.2090090563	710.1	748.0	1.6	0.0
-117.197890751	34.1865474743	710.1	748.0	1.35	0.0
-117.150858553	34.1640676852	710.1	748.0	1.45	0.0
-117.103851244	34.1415697343	710.1	748.0	1.4	0.0
-117.056868824	34.119053667	710.1	515.0	1.35	0.0
-117.009911294	34.0965195286	385.1	515.0	1.35	0.0
-116.962978654	34.0739673645	710.1	748.0	1.6	0.0
-118.785268074	34.979164847	386.6	387.0	0.0	0.0
-118.737373886	34.9573196393	710.1	748.0	0.0	0.0
-118.689504569	34.9354547218	710.1	748.0	0.0	0.0
-118.641660126	34.9135701395	710.1	748.0	0.85	0.0
-118.593840564	34.8916659375	386.6	387.0	1.15	0.0
-118.546045885	34.8697421609	351.9	354.0	1.5	0.0
-118.498276094	34.8477988549	351.9	354.0	1.9	0.0
-118.450531195	34.8258360646	228.2	354.0	2.45	0.0
-118.402811193	34.8038538352	228.2	354.0	1.65	0.0
-118.35511609	34.7818522118	293.5	354.0	1.3	0.0
-118.30744589	34.7598312396	293.5	280.0	1.25	0.0
-118.259800598	34.7377909638	293.5	280.0	1.15	0.0
-118.212179874	34.7157314331	386.6	280.0	1.3	0.0
-118.164584406	34.6936526856	228.2	280.0	1.5	0.0
-118.117013854	34.6715547702	293.5	280.0	1.45	0.0
-118.069468221	34.649437732	228.2	280.0	1.15	0.0
-118.021947511	34.6273016164	228.2	354.0	0.7	0.0
-117.974451727	34.6051464685	293.5	354.0	0.0	0.0
-117.92698087	34.5829723337	293.5	354.0	0.55	0.0
-117.879534944	34.5607792573	293.5	354.0	0.6	0.0
-117.83211395	34.5385672844	293.5	354.0	0.65	0.0
-117.784717891	34.5163364604	351.9	354.0	0.7	0.0
-117.737346769	34.4940868306	351.9	354.0	0.95	0.0
-117.690000246	34.4718184423	351.9	354.0	1.15	0.0
-117.642679004	34.4495313368	351.9	354.0	1.3	0.0
-117.595382704	34.4272255614	351.9	354.0	1.5	0.0
-117.548111349	34.4049011615	386.6	387.0	1.65	0.0
-117.500864939	34.3825581825	386.6	387.0	1.65	0.0
-117.453643476	34.3601966696	351.9	387.0	1.5	0.0
-117.406446961	34.3378166683	351.9	349.0	1.35	0.0
-117.359275396	34.315418224	351.9	349.0	1.35	0.0
-117.31212878	34.2930013819	710.1	748.0	1.5	0.0
-117.265007116	34.2705661876	710.1	748.0	1.45	0.0
-117.217910404	34.2481126863	710.1	748.0	1.45	0.0
-117.170838644	34.2256409235	710.1	748.0	1.45	0.0
-117.123791837	34.2031509445	710.1	748.0	1.7	0.0
-117.076769984	34.1806427948	710.1	748.0	1.6	0.0
-117.029773084	34.1581165198	468.4	748.0	1.35	0.0
-116.982801138	34.135572165	710.1	748.0	1.15	0.0
-116.935854145	34.1130097756	710.1	748.0	1.4	0.0
-118.758726398	35.0185914768	351.9	515.0	0.0	0.0
-118.710815377	34.9967363928	710.1	748.0	0.0	0.0
-118.662929294	34.9748615879	710.1	748.0	0.0	0.0
-118.615068152	34.9529671074	710.1	748.0	0.6	0.0
-118.567231955	34.9310529963	386.6	354.0	0.85	0.0
-118.51942071	34.9091192999	386.6	387.0	0.85	0.0
-118.471634418	34.8871660633	386.6	387.0	1.0	0.0
-118.423873085	34.8651933318	293.5	354.0	1.1	0.0
-118.376136713	34.8432011505	293.5	280.0	1.0	0.0
-118.328425308	34.8211895648	228.2	280.0	1.1	0.0
-118.280738872	34.7991586198	228.2	280.0	1.15	0.0
-118.233077409	34.7771083608	228.2	280.0	1.2	0.0
-118.18544058	34.7550388363	386.6	280.0	1.5	0.0
-118.137829073	34.732950085	386.6	280.0	1.9	0.0
-118.090242548	34.7108421554	228.2	280.0	1.95	0.0
-118.042681008	34.688715093	293.5	280.0	1.5	0.0
-117.995144456	34.666568943	293.5	280.0	1.05	0.0
-117.947632895	34.6444037507	293.5	354.0	0.65	0.0
-117.900146327	34.6222195615	351.9	354.0	0.65	0.0
-117.852684755	34.6000164207	710.1	748.0	0.65	0.0
-117.805248181	34.5777943737	293.5	354.0	0.6	0.0
-117.757836608	34.5555534657	293.5	354.0	0.7	0.0
-117.710450036	34.5332937422	293.5	354.0	1.0	0.0
-117.663088128	34.5110152503	293.5	354.0	1.35	0.0
-117.615751567	34.4887180317	351.9	354.0	1.5	0.0
-117.568440013	34.4664021337	351.9	354.0	1.65	0.0
-117.521153468	34.4440676016	351.9	354.0	1.8	0.0
-117.473891934	34.421714481	351.9	387.0	1.7	0.0
-117.426655411	34.3993428172	386.6	387.0	1.55	0.0
-117.379443902	34.3769526556	351.9	387.0	1.4	0.0
-117.332257406	34.3545440417	386.6	387.0	1.4	0.0
-117.285095925	34.3321170208	293.5	349.0	1.45	0.0
-117.23795946	34.3096716385	710.1	748.0	1.3	0.0
-117.190848011	34.2872079402	710.1	748.0	1.2	0.0
-117.14376158	34.2647259713	710.1	748.0	1.3	0.0
-117.096700165	34.2422257772	710.1	748.0	1.7	0.0
-117.049663768	34.2197074036	710.1	748.0	1.75	0.0
-117.002652389	34.1971708957	710.1	748.0	1.55	0.0
-116.955666028	34.1746162992	386.6	387.0	1.4	0.0
